gesture,[0],[7],[8],[12],[14],[16],[23],[24]
0.0,"0.4661773145198822,0.5435469746589661,-0.24264881014823914","0.5233088731765747,0.5112666487693787,-0.05552881211042404","0.4298174977302551,0.532313346862793,-0.026706036180257797","0.3851143419742584,0.7799192070960999,-0.06435835361480713","0.3317570090293884,0.8728493452072144,-0.41229739785194397","0.409247487783432,0.595367968082428,-0.7920218706130981","0.5913535952568054,1.4344887733459473,0.009873595088720322","0.4276675283908844,1.4343626499176025,-0.010442361235618591"
0.0,"0.46698373556137085,0.547433078289032,-0.27222806215286255","0.5234083533287048,0.5105596780776978,-0.06323549151420593","0.4299390912055969,0.5368443727493286,-0.03997790068387985","0.3866470456123352,0.7814350724220276,-0.06528587639331818","0.33099988102912903,0.8716278076171875,-0.4268869459629059","0.4103236794471741,0.5951910018920898,-0.8063237071037292","0.5923303961753845,1.441730260848999,0.010512938722968102","0.42770957946777344,1.4412295818328857,-0.011054867878556252"
0.0,"0.4647764563560486,0.5331335663795471,-0.2698591351509094","0.5228642225265503,0.5039628148078918,-0.06302130222320557","0.43002015352249146,0.531204104423523,-0.041942112147808075","0.38665708899497986,0.7812914252281189,-0.0944352075457573","0.3305002450942993,0.87082839012146,-0.5057744383811951","0.41182541847229004,0.595011293888092,-0.9588434100151062","0.5931823253631592,1.4413535594940186,0.023557614535093307","0.4277612268924713,1.4409184455871582,-0.02411564067006111"
0.0,"0.46528512239456177,0.5380823612213135,-0.32249537110328674","0.5230110287666321,0.5038594007492065,-0.1140047162771225","0.4296835958957672,0.5329643487930298,-0.08682651072740555","0.38658303022384644,0.781057596206665,-0.11647699028253555","0.33074626326560974,0.8674025535583496,-0.5310384035110474","0.4120970666408539,0.5897581577301025,-0.9544941186904907","0.5943596363067627,1.4431052207946777,0.02206074446439743","0.4284505844116211,1.4432657957077026,-0.022589441388845444"
0.0,"0.4689890444278717,0.5347853302955627,-0.3114525079727173","0.5237815976142883,0.5025704503059387,-0.105437733232975","0.42974644899368286,0.5271245837211609,-0.08429313451051712","0.38601869344711304,0.7808805704116821,-0.11361292749643326","0.33104056119918823,0.8694722652435303,-0.4762659966945648","0.4104796350002289,0.5813146233558655,-0.822116494178772","0.5943160653114319,1.4471211433410645,0.020212627947330475","0.4278832972049713,1.4467207193374634,-0.020755279809236526"
0.0,"0.4730290472507477,0.5371906757354736,-0.3048012852668762","0.524147629737854,0.5040939450263977,-0.10120896250009537","0.43029943108558655,0.5295160412788391,-0.08211195468902588","0.3860205411911011,0.7808047533035278,-0.11230473220348358","0.33000990748405457,0.874442994594574,-0.4785992205142975","0.3983737826347351,0.5814117193222046,-0.8383743166923523","0.595157265663147,1.4470906257629395,0.018440579995512962","0.4282380938529968,1.4463729858398438,-0.01896684244275093"
0.0,"0.4775156080722809,0.5374534726142883,-0.3230217397212982","0.5251021981239319,0.5083386301994324,-0.1169249415397644","0.4320330023765564,0.5295249819755554,-0.10588552802801132","0.3829522728919983,0.7807380557060242,-0.11916615813970566","0.33014726638793945,0.905160665512085,-0.5261977910995483","0.3908522427082062,0.5940199494361877,-0.9350649118423462","0.5951313376426697,1.446792483329773,0.018328627571463585","0.4278114438056946,1.4460605382919312,-0.018851246684789658"
0.0,"0.4912501871585846,0.5381678342819214,-0.324386864900589","0.5282479524612427,0.5153771042823792,-0.11295022815465927","0.44030746817588806,0.5290343165397644,-0.11128777265548706","0.3812907934188843,0.7743371725082397,-0.11946215480566025","0.32650652527809143,0.9328588843345642,-0.5509563088417053","0.3849509656429291,0.6207559108734131,-1.007470726966858","0.5928868055343628,1.4443154335021973,0.019049370661377907","0.42216992378234863,1.4426113367080688,-0.0195677001029253"
0.0,"0.4920129179954529,0.5382435917854309,-0.30044683814048767","0.5317800641059875,0.5188747644424438,-0.1018308773636818","0.44443392753601074,0.5274941921234131,-0.1000915989279747","0.38133561611175537,0.7723000645637512,-0.1001768559217453","0.32427099347114563,0.94414883852005,-0.5240738391876221","0.3764646649360657,0.6320886611938477,-0.9781967401504517","0.5925415754318237,1.438149333000183,0.019062232226133347","0.4215313494205475,1.4350651502609253,-0.01957928203046322"
0.0,"0.4930582046508789,0.5400819778442383,-0.3066737949848175","0.5353738069534302,0.5243909358978271,-0.11268354952335358","0.4472731053829193,0.5267127156257629,-0.10168452560901642","0.38107818365097046,0.7705008387565613,-0.10032963752746582","0.3226413428783417,0.9507028460502625,-0.5233322381973267","0.37429919838905334,0.6353238224983215,-0.956407368183136","0.5910416841506958,1.43812894821167,0.018428348004817963","0.42014843225479126,1.4350733757019043,-0.01894695684313774"
0.0,"0.4933587610721588,0.5399966835975647,-0.3283446729183197","0.5355876684188843,0.5245693922042847,-0.12451829761266708","0.4478691518306732,0.5253221392631531,-0.11220087856054306","0.38043874502182007,0.7695184350013733,-0.1062067300081253","0.31965798139572144,0.9446608424186707,-0.5236915946006775","0.37678295373916626,0.6467137336730957,-0.9617583155632019","0.5900801420211792,1.4374927282333374,0.017792988568544388","0.41877442598342896,1.4343076944351196,-0.018309541046619415"
0.0,"0.49296703934669495,0.5401152968406677,-0.3380785584449768","0.5350882411003113,0.524001955986023,-0.14369595050811768","0.44869837164878845,0.5230432748794556,-0.13465555012226105","0.3769943118095398,0.7694905400276184,-0.13593538105487823","0.32120761275291443,0.9408848285675049,-0.5870715379714966","0.3790547847747803,0.6460373997688293,-1.0557193756103516","0.5900884866714478,1.4351714849472046,0.017821235582232475","0.4193819463253021,1.4340801239013672,-0.018334772437810898"
0.0,"0.4772742688655853,0.5392119884490967,-0.33184653520584106","0.5325710773468018,0.521817147731781,-0.13829763233661652","0.44283682107925415,0.5220426917076111,-0.12748080492019653","0.3712514638900757,0.7710527777671814,-0.11995191872119904","0.32293593883514404,0.9390361309051514,-0.538862407207489","0.3950207829475403,0.6426628828048706,-0.9816106557846069","0.5900667905807495,1.4352805614471436,0.014722811058163643","0.41890081763267517,1.4345461130142212,-0.01524757593870163"
0.0,"0.4708402156829834,0.5217501521110535,-0.28507766127586365","0.5321822762489319,0.5159130096435547,-0.08378340303897858","0.43852439522743225,0.5091192722320557,-0.060822904109954834","0.36785468459129333,0.768034815788269,-0.09482665359973907","0.32447701692581177,0.934478223323822,-0.4871736466884613","0.41541871428489685,0.6340150833129883,-0.8965594172477722","0.5897979140281677,1.4350217580795288,0.017949992790818214","0.4169677793979645,1.4339543581008911,-0.01857314631342888"
0.0,"0.46944189071655273,0.4787946045398712,-0.2885787785053253","0.5316214561462402,0.5008836984634399,-0.0873861163854599","0.43739205598831177,0.4924021065235138,-0.06337890028953552","0.3674028217792511,0.7640931606292725,-0.0956115648150444","0.32481250166893005,0.9217976927757263,-0.5161627531051636","0.4259706139564514,0.6235436201095581,-0.9901288747787476","0.5906317830085754,1.4296361207962036,0.01924373023211956","0.41708436608314514,1.4271893501281738,-0.01983535662293434"
0.0,"0.4683048725128174,0.47752341628074646,-0.2916533350944519","0.531356692314148,0.49847275018692017,-0.08911923319101334","0.43664607405662537,0.4849439263343811,-0.05158611014485359","0.3660668730735779,0.756806492805481,-0.07538575679063797","0.32524383068084717,0.920634388923645,-0.5110593438148499","0.4280083179473877,0.6234678030014038,-0.9847451448440552","0.5902713537216187,1.4277746677398682,0.019045308232307434","0.4153519570827484,1.4238948822021484,-0.01962953247129917"
