gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.4782327115535736,0.418447881937027,-0.5086775422096252","0.5386515855789185,0.3938225209712982,-0.28983455896377563","0.4363967478275299,0.37736570835113525,-0.22113272547721863","0.6465656757354736,0.6717330813407898,-0.2787189781665802","0.5957332849502563,0.9430022239685059,-0.697982907295227","0.47850650548934937,0.43317827582359314,-0.9699694514274597","0.5825244784355164,1.460005521774292,-0.006636542733758688","0.5825244784355164,1.460005521774292,-0.006636542733758688"
0.0,"0.47951117157936096,0.4185156524181366,-0.4820949137210846","0.539420485496521,0.3937496244907379,-0.263945072889328","0.43684402108192444,0.37776854634284973,-0.22380462288856506","0.6481351256370544,0.6706791520118713,-0.24802562594413757","0.6067600250244141,0.94419926404953,-0.6794384121894836","0.47897425293922424,0.43395933508872986,-0.9727258682250977","0.5840955972671509,1.4677273035049438,-0.004797188565135002","0.5840955972671509,1.4677273035049438,-0.004797188565135002"
0.0,"0.4828183054924011,0.4188339114189148,-0.48890870809555054","0.5406548976898193,0.3937247395515442,-0.2656911015510559","0.43822336196899414,0.37596943974494934,-0.2310696542263031","0.6480613946914673,0.6673876643180847,-0.2500278651714325","0.6325310468673706,0.9446963667869568,-0.7296183705329895","0.4803139269351959,0.43505018949508667,-1.111765742301941","0.589478611946106,1.4679621458053589,-0.0039807455614209175","0.589478611946106,1.4679621458053589,-0.0039807455614209175"
0.0,"0.4890754222869873,0.41412872076034546,-0.4341479241847992","0.5410158634185791,0.3891131579875946,-0.19493591785430908","0.4407197833061218,0.3659072518348694,-0.2072354257106781","0.647492527961731,0.6679293513298035,-0.1878083050251007","0.6629988551139832,0.9520386457443237,-0.696463942527771","0.4814295172691345,0.4355890452861786,-1.0818040370941162","0.5894318222999573,1.4759618043899536,0.015599039383232594","0.5894318222999573,1.4759618043899536,0.015599039383232594"
0.0,"0.5015937685966492,0.41065436601638794,-0.4395290017127991","0.5441159605979919,0.38529202342033386,-0.18668381869792938","0.44327616691589355,0.364504873752594,-0.20466093719005585","0.6467663049697876,0.6705141663551331,-0.18639476597309113","0.6919330358505249,0.962436318397522,-0.6539782285690308","0.48800987005233765,0.4444863200187683,-0.9890505075454712","0.5912749767303467,1.4813404083251953,0.017775963991880417","0.5912749767303467,1.4813404083251953,0.017775963991880417"
0.0,"0.5008107423782349,0.4001457989215851,-0.43055111169815063","0.5425260663032532,0.37374192476272583,-0.187961608171463","0.44323867559432983,0.3530772030353546,-0.1887129545211792","0.6434674263000488,0.6709802746772766,-0.19195249676704407","0.7156972289085388,0.9639090895652771,-0.634950578212738","0.5004235506057739,0.45646488666534424,-0.9387373924255371","0.5984240174293518,1.4805418252944946,0.01761995628476143","0.5984240174293518,1.4805418252944946,0.01761995628476143"
0.0,"0.5056772232055664,0.38488662242889404,-0.40983375906944275","0.5425201058387756,0.3642022907733917,-0.17420893907546997","0.4431512951850891,0.34586629271507263,-0.19921541213989258","0.6408408880233765,0.6720820069313049,-0.16849680244922638","0.7260393500328064,0.9583244323730469,-0.5713409781455994","0.5129796266555786,0.47184252738952637,-0.8736209869384766","0.5983149409294128,1.4803251028060913,0.02569333091378212","0.5983149409294128,1.4803251028060913,0.02569333091378212"
0.0,"0.5062200427055359,0.37598827481269836,-0.4115096926689148","0.5424548387527466,0.36010321974754333,-0.1654365360736847","0.44307392835617065,0.34083688259124756,-0.19822657108306885","0.6401175260543823,0.6729459762573242,-0.16998493671417236","0.741217851638794,0.945059061050415,-0.5956884026527405","0.522718071937561,0.4770401120185852,-0.9123623967170715","0.5994094610214233,1.4796335697174072,0.026478996500372887","0.5994094610214233,1.4796335697174072,0.026478996500372887"
0.0,"0.5049116015434265,0.3716440796852112,-0.39928990602493286","0.5400375127792358,0.35563868284225464,-0.14904507994651794","0.44278860092163086,0.3381120264530182,-0.1774405837059021","0.6353916525840759,0.6721993088722229,-0.14204691350460052","0.7550303936004639,0.9037654399871826,-0.5568090081214905","0.527586817741394,0.49209946393966675,-0.8814026117324829","0.5990478992462158,1.4767736196517944,0.030759355053305626","0.5990478992462158,1.4767736196517944,0.030759355053305626"
0.0,"0.5087836384773254,0.3723372220993042,-0.3844413161277771","0.5397583842277527,0.3542138934135437,-0.10988042503595352","0.4433242678642273,0.3377802073955536,-0.16290733218193054","0.633869469165802,0.672822892665863,-0.10528061538934708","0.770935595035553,0.8759291172027588,-0.504175066947937","0.5325623750686646,0.5047208070755005,-0.8219952583312988","0.6000503301620483,1.467902660369873,0.0323542021214962","0.6000503301620483,1.467902660369873,0.0323542021214962"
