az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.33019185066223145,0.31485289335250854,-0.5964311361312866","0.37620872259140015,0.27907925844192505,-0.2836352586746216","0.2723131775856018,0.30187323689460754,-0.3609737753868103","0.235810786485672,0.5301291942596436,-0.38742005825042725","0.3845888674259186,0.590320885181427,-0.7380343079566956","0.661340594291687,0.5107191205024719,-1.0284651517868042","0.42562422156333923,1.2659682035446167,0.07339173555374146","0.2665911018848419,1.2453581094741821,-0.07388550043106079"
-0.5,0.0,"0.33489131927490234,0.34159907698631287,-0.6558136343955994","0.3809402585029602,0.3084844648838043,-0.3276042342185974","0.27911823987960815,0.32545021176338196,-0.4060271680355072","0.23927804827690125,0.544687807559967,-0.42518725991249084","0.4024078845977783,0.555137038230896,-0.745476484298706","0.6641005873680115,0.3869616985321045,-1.011008620262146","0.42133384943008423,1.2877553701400757,0.06626956909894943","0.26674938201904297,1.2587213516235352,-0.06673558056354523"
-0.5,0.0,"0.3390182554721832,0.34376323223114014,-0.6005938649177551","0.38447991013526917,0.3189782202243805,-0.2839764952659607","0.2836077809333801,0.324922114610672,-0.3704628050327301","0.24532318115234375,0.540231466293335,-0.4129346013069153","0.4039835035800934,0.5439819693565369,-0.7373510003089905","0.6512021422386169,0.33803966641426086,-0.9837682843208313","0.4286739230155945,1.2860239744186401,0.06911919265985489","0.27329838275909424,1.2647336721420288,-0.06957700103521347"
-0.5,0.0,"0.3389425277709961,0.3463577330112457,-0.6824637651443481","0.3824532926082611,0.3176412880420685,-0.35048943758010864","0.2836255133152008,0.32684168219566345,-0.4386509954929352","0.24826648831367493,0.5424543619155884,-0.4533887505531311","0.4052870273590088,0.5447697639465332,-0.7889423370361328","0.6572822332382202,0.3545237183570862,-1.0628554821014404","0.4316871166229248,1.286866307258606,0.06747135519981384","0.2767360508441925,1.2700656652450562,-0.06790409237146378"
-0.5,0.0,"0.33940696716308594,0.3499457836151123,-0.5890455842018127","0.3845844864845276,0.3171228766441345,-0.26428526639938354","0.2847537100315094,0.3319433927536011,-0.30757197737693787","0.2504209876060486,0.5453385710716248,-0.33093327283859253","0.4016788899898529,0.5605418086051941,-0.6408775448799133","0.6518190503120422,0.42021799087524414,-0.9110825657844543","0.43233522772789,1.28310227394104,0.057650309056043625","0.278889924287796,1.2669094800949097,-0.05817847326397896"
-0.5,0.0,"0.3404133915901184,0.35678333044052124,-0.41825541853904724","0.38545656204223633,0.3243542015552521,-0.14779986441135406","0.2859094440937042,0.3381401598453522,-0.19208794832229614","0.2518380284309387,0.544668436050415,-0.22739677131175995","0.40079444646835327,0.5752803683280945,-0.541063666343689","0.6557989120483398,0.46115684509277344,-0.8012163043022156","0.425750732421875,1.2673935890197754,0.041715409606695175","0.2795725464820862,1.249900221824646,-0.042189884930849075"
-0.5,0.0,"0.34165096282958984,0.3592151999473572,-0.504306972026825","0.38691598176956177,0.3279559314250946,-0.1922113597393036","0.286815345287323,0.3389184772968292,-0.24180984497070312","0.25814229249954224,0.5427047610282898,-0.24057802557945251","0.40147656202316284,0.5868782997131348,-0.5754352807998657","0.6581863164901733,0.48786455392837524,-0.9906943440437317","0.428433895111084,1.2516010999679565,0.04386665299534798","0.2831765413284302,1.2398556470870972,-0.044358208775520325"
-0.5,0.0,"0.34248051047325134,0.36108019948005676,-0.47335347533226013","0.3878776729106903,0.331028014421463,-0.18295098841190338","0.2870187759399414,0.3395383059978485,-0.2246064394712448","0.2697165012359619,0.5476387143135071,-0.24745385348796844","0.40989646315574646,0.5931812524795532,-0.5915473103523254","0.6599058508872986,0.49350446462631226,-0.9257296323776245","0.42593875527381897,1.2434190511703491,0.03805568069219589","0.2846093475818634,1.2284132242202759,-0.03858781233429909"
-0.5,0.0,"0.3427094519138336,0.3614262044429779,-0.55538409948349","0.388674259185791,0.33283770084381104,-0.25627195835113525","0.2875048518180847,0.3416963219642639,-0.2983899712562561","0.2750989496707916,0.5478512644767761,-0.3079295754432678","0.4117957651615143,0.5921942591667175,-0.6545723676681519","0.660393476486206,0.4928179383277893,-0.9698055386543274","0.4233645498752594,1.2457743883132935,0.039405521005392075","0.28472721576690674,1.2288486957550049,-0.03994150087237358"
-0.5,0.0,"0.34312695264816284,0.3614443838596344,-0.5473156571388245","0.3892039656639099,0.33256879448890686,-0.24035131931304932","0.2893655002117157,0.3413211703300476,-0.27787038683891296","0.27543118596076965,0.5512744188308716,-0.2810848355293274","0.4116040766239166,0.5931635499000549,-0.6071903109550476","0.6603653430938721,0.4996693432331085,-0.9191967248916626","0.4248902201652527,1.2682766914367676,0.028778359293937683","0.2850714921951294,1.2457869052886963,-0.029331501573324203"
-0.5,0.0,"0.34331467747688293,0.3613412082195282,-0.4468079209327698","0.38958364725112915,0.3317844271659851,-0.1918458491563797","0.2900555729866028,0.3401874899864197,-0.21445396542549133","0.27515068650245667,0.5506478548049927,-0.24663706123828888","0.41060248017311096,0.5939373970031738,-0.55946284532547","0.6600648164749146,0.4997432231903076,-0.8182784914970398","0.4273098409175873,1.268140196800232,0.03068724274635315","0.2898715138435364,1.2470723390579224,-0.03121713362634182"
-0.5,0.0,"0.343474417924881,0.36256706714630127,-0.44079360365867615","0.3907511234283447,0.331483393907547,-0.17742334306240082","0.29211777448654175,0.34102994203567505,-0.20337823033332825","0.2782542407512665,0.5494189858436584,-0.23835201561450958","0.4096468985080719,0.5930383205413818,-0.5558239221572876","0.6596916317939758,0.5026276707649231,-0.8243664503097534","0.43702858686447144,1.2689486742019653,0.031558528542518616","0.30190742015838623,1.2511639595031738,-0.03208310157060623"
-0.5,0.0,"0.34371837973594666,0.36821281909942627,-0.4524681568145752","0.3915783762931824,0.3337624967098236,-0.1811082512140274","0.294071227312088,0.3447219133377075,-0.21614810824394226","0.278847336769104,0.5585912466049194,-0.2514926791191101","0.41322293877601624,0.5947779417037964,-0.5664917230606079","0.6600478887557983,0.5126485824584961,-0.829380214214325","0.4375759959220886,1.2888343334197998,0.0321924090385437","0.3013171851634979,1.2717468738555908,-0.03272183984518051"
-0.5,0.0,"0.3443908095359802,0.37018707394599915,-0.5000422596931458","0.39240822196006775,0.33360353112220764,-0.21745753288269043","0.2944817841053009,0.3447069227695465,-0.2589871287345886","0.27895912528038025,0.5572668313980103,-0.2915945053100586","0.40923967957496643,0.5966174006462097,-0.6181830167770386","0.6581798791885376,0.5186139345169067,-0.908957839012146","0.4385896325111389,1.2781919240951538,0.0391453392803669","0.3008953630924225,1.258998155593872,-0.0396265871822834"
-0.5,0.0,"0.3459284007549286,0.37359878420829773,-0.44643744826316833","0.39331337809562683,0.33636951446533203,-0.16848424077033997","0.29642707109451294,0.3461795449256897,-0.21738585829734802","0.28127920627593994,0.5537148118019104,-0.25515449047088623","0.3990936279296875,0.5974577069282532,-0.5815207362174988","0.6532742977142334,0.5175685286521912,-0.8621377944946289","0.43873944878578186,1.254106044769287,0.04263678193092346","0.30071502923965454,1.2399200201034546,-0.043033670634031296"
-0.5,0.0,"0.34693092107772827,0.3724672496318817,-0.5476528406143188","0.3939712643623352,0.33571159839630127,-0.2490973174571991","0.29821619391441345,0.3455461859703064,-0.3186599016189575","0.282015860080719,0.5467702746391296,-0.3490145802497864","0.40221697092056274,0.5965408682823181,-0.6986626386642456","0.6537651419639587,0.5148983001708984,-0.9915889501571655","0.43869414925575256,1.2346585988998413,0.047226808965206146","0.30125904083251953,1.2209925651550293,-0.047674473375082016"
-0.5,0.0,"0.3474533259868622,0.37161514163017273,-0.5723735690116882","0.39432820677757263,0.3352656960487366,-0.28162258863449097","0.29915666580200195,0.3450830280780792,-0.33769646286964417","0.28182512521743774,0.541064977645874,-0.3551844358444214","0.4033368229866028,0.595761239528656,-0.691045343875885","0.6520332098007202,0.5124825239181519,-1.0048177242279053","0.438732773065567,1.2163941860198975,0.047199033200740814","0.3018072545528412,1.203471302986145,-0.047648198902606964"
-0.5,0.0,"0.3477347493171692,0.3710736930370331,-0.5719155073165894","0.3943668603897095,0.3349113166332245,-0.2685112953186035","0.2992607355117798,0.3447127342224121,-0.3295060396194458","0.28160253167152405,0.5327684283256531,-0.34823256731033325","0.40422123670578003,0.580601155757904,-0.6961387991905212","0.6534481644630432,0.5122963190078735,-1.0196139812469482","0.4386431574821472,1.2134135961532593,0.04928936809301376","0.30174675583839417,1.1982223987579346,-0.04974045604467392"
-0.5,0.0,"0.34787479043006897,0.3708401918411255,-0.5252500176429749","0.3944590389728546,0.334855854511261,-0.26797589659690857","0.29962027072906494,0.344480037689209,-0.2991868555545807","0.2835283875465393,0.528799295425415,-0.3103600740432739","0.4127928614616394,0.5674119591712952,-0.6153143644332886","0.6641074419021606,0.5106967091560364,-0.9010011553764343","0.43861985206604004,1.2081494331359863,0.04153139516711235","0.301929771900177,1.19071626663208,-0.04201630875468254"
-0.5,0.0,"0.3479963541030884,0.369766503572464,-0.5207764506340027","0.39453116059303284,0.33465462923049927,-0.2628496289253235","0.2997705340385437,0.3422139883041382,-0.32044023275375366","0.27957141399383545,0.5221320390701294,-0.3474369943141937","0.420443594455719,0.5595234036445618,-0.6589522361755371","0.6691912412643433,0.512963593006134,-0.9405185580253601","0.4416317939758301,1.2018961906433105,0.04282116889953613","0.3098427951335907,1.191027045249939,-0.04329218715429306"
-0.5,0.0,"0.348615825176239,0.36874693632125854,-0.4647899270057678","0.39459559321403503,0.3330555856227875,-0.19782599806785583","0.2999633550643921,0.34212440252304077,-0.2746752202510834","0.27967992424964905,0.5272906422615051,-0.3105047345161438","0.43175944685935974,0.5605541467666626,-0.5708633661270142","0.6739053130149841,0.5177218317985535,-0.7758914232254028","0.4422568678855896,1.2106142044067383,0.04499778524041176","0.31041109561920166,1.2048766613006592,-0.04541667550802231"
-0.5,0.0,"0.3488045036792755,0.3693379759788513,-0.4631330072879791","0.3948819935321808,0.333032488822937,-0.1961960643529892","0.30014878511428833,0.34246307611465454,-0.2639613747596741","0.28033962845802307,0.527409017086029,-0.30352193117141724","0.42997559905052185,0.5608076453208923,-0.5746355056762695","0.6735557317733765,0.5147349238395691,-0.7955475449562073","0.4457170069217682,1.2112098932266235,0.04617152363061905","0.31254416704177856,1.203903079032898,-0.04658647999167442"
-0.5,0.0,"0.34938597679138184,0.3691442310810089,-0.4122703969478607","0.3949844241142273,0.33307498693466187,-0.1634341925382614","0.3006303906440735,0.3416072130203247,-0.22855162620544434","0.27925461530685425,0.5160879492759705,-0.27124038338661194","0.43311190605163574,0.5755401849746704,-0.5708760023117065","0.6728886365890503,0.5088909268379211,-0.812136173248291","0.4418504238128662,1.1663767099380493,0.049681466072797775","0.31279808282852173,1.069176197052002,-0.05007641762495041"
-0.5,0.0,"0.3503195643424988,0.36900079250335693,-0.4065778851509094","0.3950182795524597,0.33281469345092773,-0.17677736282348633","0.3009149730205536,0.34149906039237976,-0.23507216572761536","0.27776873111724854,0.5166163444519043,-0.28539973497390747","0.43591317534446716,0.5824860334396362,-0.5856884121894836","0.6724612712860107,0.4939331114292145,-0.8165431022644043","0.4425945281982422,1.1565496921539307,0.04956958070397377","0.31384825706481934,1.065256118774414,-0.04995490238070488"
-0.5,0.0,"0.3527301549911499,0.36793410778045654,-0.4655607342720032","0.3950938582420349,0.3329106271266937,-0.24393656849861145","0.30130380392074585,0.3402113914489746,-0.31623879075050354","0.2775948941707611,0.5146964192390442,-0.35080721974372864","0.43864306807518005,0.5922521948814392,-0.654930591583252","0.6738758683204651,0.48309195041656494,-0.8765093088150024","0.44375449419021606,1.155100703239441,0.05294555425643921","0.3151606321334839,1.0881766080856323,-0.053306423127651215"
-0.5,0.0,"0.35298311710357666,0.36577704548835754,-0.5441399812698364","0.3954661190509796,0.33379635214805603,-0.28471583127975464","0.30252811312675476,0.33843132853507996,-0.35153549909591675","0.27709221839904785,0.520675003528595,-0.371147483587265","0.44002074003219604,0.5922619104385376,-0.6869603395462036","0.6748953461647034,0.4828249216079712,-0.9383827447891235","0.44246697425842285,1.1608431339263916,0.05145779252052307","0.3139708638191223,1.1141090393066406,-0.05189936235547066"
-0.5,0.0,"0.3548383116722107,0.36559757590293884,-0.556780219078064","0.39627203345298767,0.3346686065196991,-0.30857378244400024","0.3035098910331726,0.33826011419296265,-0.37052473425865173","0.2778317928314209,0.5218967199325562,-0.3932637572288513","0.4390667974948883,0.591705858707428,-0.7291871309280396","0.6752713322639465,0.48702409863471985,-1.0004010200500488","0.44258221983909607,1.1662776470184326,0.0514192208647728","0.313768595457077,1.136578917503357,-0.051860444247722626"
-0.5,0.0,"0.35543495416641235,0.3652203381061554,-0.46715012192726135","0.3965364098548889,0.33471888303756714,-0.2183627337217331","0.3046107888221741,0.33760419487953186,-0.2828046679496765","0.2825782597064972,0.5254075527191162,-0.32712846994400024","0.4448830485343933,0.5803161859512329,-0.6337624788284302","0.6837356686592102,0.5088164806365967,-0.86476069688797","0.4419185221195221,1.2017642259597778,0.05128123611211777","0.3136071562767029,1.1862754821777344,-0.0517338402569294"
-0.5,0.0,"0.355446457862854,0.3651347756385803,-0.42504844069480896","0.39737939834594727,0.33460134267807007,-0.18810072541236877","0.30471375584602356,0.3376137614250183,-0.2355836182832718","0.283374160528183,0.5298216342926025,-0.27535557746887207","0.4371250569820404,0.5776791572570801,-0.5901165008544922","0.683427631855011,0.5278704762458801,-0.8344670534133911","0.4437790811061859,1.220266342163086,0.047797612845897675","0.3137443959712982,1.2111434936523438,-0.04826098307967186"
-0.5,0.0,"0.3553784191608429,0.36505094170570374,-0.4173615872859955","0.397370308637619,0.33455774188041687,-0.16612617671489716","0.3051042854785919,0.3395780920982361,-0.2326119840145111","0.2833803594112396,0.5302476286888123,-0.2773755192756653","0.4369664192199707,0.5702492594718933,-0.6012799143791199","0.6829296350479126,0.5461655259132385,-0.8525708913803101","0.44501838088035583,1.218773365020752,0.05059169977903366","0.31409579515457153,1.206185221672058,-0.051039792597293854"
-0.5,0.0,"0.3551366925239563,0.3647494912147522,-0.41596904397010803","0.39735472202301025,0.3344724774360657,-0.17251189053058624","0.3055654764175415,0.33953312039375305,-0.2312173843383789","0.28135377168655396,0.5272390246391296,-0.27215248346328735","0.4369646906852722,0.5669880509376526,-0.5772537589073181","0.6823781728744507,0.5539271235466003,-0.8321743011474609","0.4436027407646179,1.2125849723815918,0.0483739897608757","0.30992892384529114,1.2039309740066528,-0.048827704042196274"
-0.5,0.0,"0.3547478914260864,0.36512458324432373,-0.39656224846839905","0.3973574936389923,0.3344571590423584,-0.15939295291900635","0.30601197481155396,0.3405073285102844,-0.21403589844703674","0.2813149690628052,0.5243833065032959,-0.25185179710388184","0.43378010392189026,0.5654516816139221,-0.5457295179367065","0.6811506748199463,0.5575428605079651,-0.7743372917175293","0.4423026144504547,1.2155989408493042,0.04825326055288315","0.3086286187171936,1.2049678564071655,-0.04871346801519394"
-0.5,0.0,"0.35456401109695435,0.36509180068969727,-0.41162481904029846","0.3973875641822815,0.33341675996780396,-0.15503908693790436","0.3059317171573639,0.340544193983078,-0.21602186560630798","0.28161871433258057,0.5244147777557373,-0.2516271471977234","0.4258805215358734,0.5654194355010986,-0.563066840171814","0.6727566123008728,0.5527464151382446,-0.8082460165023804","0.44224101305007935,1.2164000272750854,0.04762548208236694","0.3084220290184021,1.2034645080566406,-0.048073869198560715"
-0.5,0.0,"0.35442855954170227,0.36521369218826294,-0.4192546010017395","0.39735013246536255,0.33339568972587585,-0.15741175413131714","0.30585792660713196,0.3406178057193756,-0.2251545637845993","0.2811846137046814,0.5244936347007751,-0.26034054160118103","0.42950448393821716,0.5664690136909485,-0.5673435926437378","0.6727750897407532,0.5410438776016235,-0.8032633066177368","0.43504244089126587,1.2179995775222778,0.049154751002788544","0.30531424283981323,1.2048746347427368,-0.049599237740039825"
-0.5,0.0,"0.3544160723686218,0.3651164472103119,-0.562942624092102","0.39800789952278137,0.33303138613700867,-0.28521114587783813","0.30522385239601135,0.3401617407798767,-0.3730311989784241","0.27866122126579285,0.5231403112411499,-0.39308103919029236","0.4290255606174469,0.5782038569450378,-0.7162221670150757","0.6686016321182251,0.5229911804199219,-0.9644861221313477","0.4309323728084564,1.220144510269165,0.05719493702054024","0.3012755513191223,1.2070449590682983,-0.05759863182902336"
-0.5,0.0,"0.3544923961162567,0.36231592297554016,-0.5246762037277222","0.39833784103393555,0.3324580490589142,-0.252443790435791","0.3046918511390686,0.33560168743133545,-0.3282224237918854","0.27440962195396423,0.523836612701416,-0.37813618779182434","0.42922767996788025,0.6048873662948608,-0.6936396956443787","0.6683617830276489,0.5133845210075378,-0.9215418696403503","0.4314449429512024,1.2052807807922363,0.056814044713974","0.3012010455131531,1.1965688467025757,-0.05722309276461601"
-0.5,0.0,"0.35470229387283325,0.36048007011413574,-0.5103611350059509","0.3990662693977356,0.3324364423751831,-0.23917150497436523","0.3047656714916229,0.33447062969207764,-0.3115967810153961","0.2742901146411896,0.5247856378555298,-0.3511104881763458","0.4329547882080078,0.6152508854866028,-0.6661277413368225","0.6696624159812927,0.5040220022201538,-0.9083223342895508","0.43247610330581665,1.196890115737915,0.05854526907205582","0.30304062366485596,1.1895484924316406,-0.05897558853030205"
-0.5,0.0,"0.3567332625389099,0.35947635769844055,-0.45251646637916565","0.3991623520851135,0.33226802945137024,-0.2256385087966919","0.3047710955142975,0.33246615529060364,-0.3108273148536682","0.27295204997062683,0.5213326811790466,-0.3423721194267273","0.43323642015457153,0.6155624389648438,-0.655731737613678","0.6706262826919556,0.4998376667499542,-0.8517197370529175","0.43309563398361206,1.1725188493728638,0.058209069073200226","0.3057646155357361,1.1701711416244507,-0.058640606701374054"
-0.5,0.0,"0.3569188117980957,0.3600153625011444,-0.5153841972351074","0.39953336119651794,0.33250680565834045,-0.22995440661907196","0.30502375960350037,0.33258917927742004,-0.31094786524772644","0.27589136362075806,0.5251488089561462,-0.3368476331233978","0.43226322531700134,0.6148255467414856,-0.6804472208023071","0.6706568002700806,0.500880241394043,-0.9705559611320496","0.4375036656856537,1.1766778230667114,0.05623709410429001","0.31102514266967773,1.1767117977142334,-0.05669869855046272"
-0.5,0.0,"0.3574153482913971,0.36092135310173035,-0.47663363814353943","0.3999476730823517,0.3326808214187622,-0.1868564337491989","0.3055295944213867,0.33289834856987,-0.27167215943336487","0.2798815071582794,0.5309330224990845,-0.2929026186466217","0.4394884705543518,0.6032343506813049,-0.6054328680038452","0.6746021509170532,0.5025349259376526,-0.8606365323066711","0.43752193450927734,1.1856869459152222,0.05157828330993652","0.31094980239868164,1.181739330291748,-0.05203791707754135"
-0.5,0.0,"0.3579549193382263,0.36060193181037903,-0.5027485489845276","0.40043917298316956,0.3320002555847168,-0.2227376252412796","0.3057415187358856,0.3326355814933777,-0.31754550337791443","0.28067880868911743,0.5310232043266296,-0.3371531367301941","0.4391734004020691,0.5814160108566284,-0.6568683385848999","0.6779075860977173,0.5039792656898499,-0.8978479504585266","0.4380696415901184,1.1861037015914917,0.0510786697268486","0.3111291229724884,1.182051420211792,-0.05150675028562546"
-0.5,0.0,"0.3584156930446625,0.36009204387664795,-0.5023064613342285","0.4016075134277344,0.3314015567302704,-0.22047953307628632","0.30581429600715637,0.3316517174243927,-0.312041699886322","0.2806510925292969,0.52073073387146,-0.33492425084114075","0.43582838773727417,0.5663954019546509,-0.6780246496200562","0.6783893704414368,0.5098555684089661,-0.9453217387199402","0.4380868971347809,1.186163306236267,0.0510672926902771","0.30956146121025085,1.1779308319091797,-0.05149770900607109"
-0.5,0.0,"0.35970908403396606,0.3581085205078125,-0.3292334973812103","0.40191012620925903,0.33021262288093567,-0.06466101109981537","0.30644580721855164,0.33143988251686096,-0.15074312686920166","0.2812633514404297,0.5191144943237305,-0.21614396572113037","0.4362208843231201,0.5535057783126831,-0.5612176060676575","0.6792621612548828,0.518930971622467,-0.8247002363204956","0.4414916932582855,1.1783367395401,0.05310846120119095","0.30994904041290283,1.169668436050415,-0.05354195833206177"
-0.5,0.0,"0.3597746789455414,0.35552263259887695,-0.38531824946403503","0.4018458425998688,0.33001330494880676,-0.12064610421657562","0.3066542148590088,0.3307171165943146,-0.20465651154518127","0.27959495782852173,0.5192899703979492,-0.25189802050590515","0.43436068296432495,0.5531728863716125,-0.5842165946960449","0.6784061193466187,0.5284578204154968,-0.8463915586471558","0.441472589969635,1.1795958280563354,0.05185043066740036","0.3064265847206116,1.1697930097579956,-0.05229424312710762"
-0.5,0.0,"0.3599138855934143,0.3543471097946167,-0.40739306807518005","0.40184488892555237,0.3300023674964905,-0.13158825039863586","0.3070790767669678,0.33076047897338867,-0.2085345983505249","0.2794981598854065,0.5199350714683533,-0.2476821392774582","0.43433886766433716,0.5499933362007141,-0.5794410109519958","0.6789435148239136,0.534467339515686,-0.8492480516433716","0.441301167011261,1.180830955505371,0.04944135621190071","0.30586451292037964,1.1707327365875244,-0.04988175258040428"
-0.5,0.0,"0.35995423793792725,0.35446155071258545,-0.45751333236694336","0.40184658765792847,0.3293231427669525,-0.18615379929542542","0.3070833683013916,0.3311668932437897,-0.26738548278808594","0.2793019413948059,0.5194007158279419,-0.3060714304447174","0.43426141142845154,0.5490981340408325,-0.6395946741104126","0.678868293762207,0.5337677597999573,-0.9161985516548157","0.44284358620643616,1.1816327571868896,0.05065269395709038","0.30659446120262146,1.1714303493499756,-0.05110795050859451"
-0.5,0.0,"0.3593854606151581,0.3536752462387085,-0.48896822333335876","0.4018997550010681,0.32849830389022827,-0.20428793132305145","0.3068655729293823,0.3311959207057953,-0.2958895266056061","0.28088393807411194,0.5191785097122192,-0.33616572618484497","0.4341825544834137,0.5505668520927429,-0.6704587340354919","0.6776227951049805,0.520455539226532,-0.9379522204399109","0.44190192222595215,1.1890699863433838,0.05309928208589554","0.3064916431903839,1.1748443841934204,-0.0535731203854084"
-0.5,0.0,"0.3588187098503113,0.35418644547462463,-0.4980088770389557","0.40203389525413513,0.3280874490737915,-0.21974539756774902","0.30650901794433594,0.33228859305381775,-0.3012710213661194","0.28086963295936584,0.5169911980628967,-0.3360750377178192","0.4340601861476898,0.555121123790741,-0.6677330136299133","0.6769534349441528,0.5120722651481628,-0.9398074150085449","0.4417904019355774,1.1670043468475342,0.05461888760328293","0.3081820607185364,1.156217336654663,-0.055079203099012375"
-0.5,0.0,"0.3576941192150116,0.3554824888706207,-0.5044113397598267","0.4017573297023773,0.3281092941761017,-0.26868975162506104","0.306304931640625,0.3341994285583496,-0.30682817101478577","0.28145867586135864,0.5267221331596375,-0.333692729473114","0.4336027503013611,0.5659018754959106,-0.6209328174591064","0.6663597822189331,0.505815863609314,-0.8861011266708374","0.4408037066459656,1.1712619066238403,0.027959343045949936","0.3081802725791931,1.158187985420227,-0.028444815427064896"
-0.5,0.0,"0.3566294312477112,0.3567150831222534,-0.5929309129714966","0.4016365110874176,0.32823193073272705,-0.3048080801963806","0.3060837388038635,0.33445265889167786,-0.34502723813056946","0.2814471125602722,0.5291930437088013,-0.33502790331840515","0.4352310597896576,0.56971275806427,-0.6349738836288452","0.6612765789031982,0.5015977621078491,-0.9648772478103638","0.4407333433628082,1.172805905342102,0.0279953982681036","0.30984872579574585,1.1600990295410156,-0.028427328914403915"
