az,el,[0],[7],[8],[12],[14],[16],[23],[24]
-0.5,0.0,"0.45076340436935425,0.4118078052997589,-0.3169102668762207","0.4973209500312805,0.38011130690574646,-0.0778413712978363","0.40498924255371094,0.3951660990715027,-0.12465201318264008","0.3787039518356323,0.568858802318573,-0.19229881465435028","0.5347476005554199,0.5666648149490356,-0.49165329337120056","0.7298778891563416,0.41578471660614014,-0.7060245275497437","0.5189231634140015,1.162278175354004,0.05403278023004532","0.3841831088066101,1.1470221281051636,-0.054544948041439056"
-0.5,0.0,"0.45107540488243103,0.4111914336681366,-0.3536863327026367","0.497262179851532,0.3795601725578308,-0.11408984661102295","0.40491563081741333,0.394355446100235,-0.17004454135894775","0.378335177898407,0.5677464008331299,-0.23137550055980682","0.5327838659286499,0.5669755935668945,-0.5263199806213379","0.7297996282577515,0.4180566966533661,-0.7208660840988159","0.519087553024292,1.1623830795288086,0.05448974296450615","0.3840333819389343,1.1470177173614502,-0.05499077960848808"
-0.5,0.0,"0.4519798159599304,0.4106673300266266,-0.3572978377342224","0.49733996391296387,0.37924864888191223,-0.10956939309835434","0.40494877099990845,0.393709272146225,-0.1695045381784439","0.3787665069103241,0.5675845742225647,-0.22841694951057434","0.5319228172302246,0.567095935344696,-0.5238857269287109","0.7300097346305847,0.41902482509613037,-0.7424231767654419","0.5187248587608337,1.1630041599273682,0.05379139259457588","0.3838515877723694,1.146378517150879,-0.054309386759996414"
-0.5,0.0,"0.45218342542648315,0.41024017333984375,-0.44253411889076233","0.497396856546402,0.37897470593452454,-0.19244688749313354","0.40497493743896484,0.39324140548706055,-0.24461564421653748","0.37914928793907166,0.5657517910003662,-0.2886015772819519","0.5302591919898987,0.5672407150268555,-0.5744286179542542","0.7294829487800598,0.4189101755619049,-0.7860230207443237","0.5182070136070251,1.163527250289917,0.05303744226694107","0.38390249013900757,1.1466631889343262,-0.053541965782642365"
-0.5,0.0,"0.45216378569602966,0.41163796186447144,-0.43502277135849","0.4974566102027893,0.37992289662361145,-0.19537577033042908","0.4049695134162903,0.39290720224380493,-0.24371644854545593","0.37946271896362305,0.5650359988212585,-0.29632413387298584","0.5288269519805908,0.567664384841919,-0.6007589101791382","0.7279905080795288,0.4190514385700226,-0.8340885043144226","0.517394483089447,1.1699621677398682,0.05264938995242119","0.3829207122325897,1.1520280838012695,-0.05316127464175224"
-0.5,0.0,"0.4521874785423279,0.4116862714290619,-0.4191127419471741","0.4976581633090973,0.3794644773006439,-0.17101483047008514","0.405219703912735,0.39260852336883545,-0.2230006754398346","0.38075166940689087,0.5622721910476685,-0.28225964307785034","0.5289118885993958,0.5682818293571472,-0.5877795815467834","0.7279608249664307,0.41913145780563354,-0.8229724764823914","0.5175694227218628,1.167695164680481,0.05255255848169327","0.38296717405319214,1.1460411548614502,-0.05307137966156006"
-0.5,0.0,"0.45226994156837463,0.41149812936782837,-0.4867684245109558","0.4978107810020447,0.3793666958808899,-0.21584801375865936","0.4052972197532654,0.39235174655914307,-0.28065574169158936","0.38071495294570923,0.5622231960296631,-0.3315240442752838","0.5292447209358215,0.5686638951301575,-0.6650207042694092","0.7279707789421082,0.4201311469078064,-0.9333856701850891","0.5175427794456482,1.1697866916656494,0.05707179754972458","0.38228046894073486,1.1474536657333374,-0.057586006820201874"
-0.5,0.0,"0.452253520488739,0.4113759398460388,-0.45418769121170044","0.49783921241760254,0.3792438209056854,-0.19211697578430176","0.4052836298942566,0.39218002557754517,-0.25020670890808105","0.380832314491272,0.5621297359466553,-0.31159234046936035","0.5296674966812134,0.5697947144508362,-0.627275288105011","0.7275346517562866,0.4208433926105499,-0.888316810131073","0.5171485543251038,1.1702158451080322,0.05734555795788765","0.3811635375022888,1.1481000185012817,-0.057843126356601715"
-0.5,0.0,"0.45224085450172424,0.4112605154514313,-0.37709498405456543","0.4978939890861511,0.3791472911834717,-0.1150301918387413","0.40513819456100464,0.39196595549583435,-0.18453630805015564","0.380465567111969,0.5620968341827393,-0.26388806104660034","0.5296967625617981,0.5727540254592896,-0.5918099880218506","0.7266238927841187,0.4221038818359375,-0.8422233462333679","0.5169562101364136,1.1694055795669556,0.06010271981358528","0.38002628087997437,1.1468197107315063,-0.06056337431073189"
-0.5,0.0,"0.45271196961402893,0.41019460558891296,-0.4252665638923645","0.49795040488243103,0.3767329752445221,-0.14833024144172668","0.4051360487937927,0.3917868435382843,-0.23417368531227112","0.3805726170539856,0.5582426190376282,-0.29737746715545654","0.5304118394851685,0.5746493935585022,-0.6051844358444214","0.7265711426734924,0.4224015474319458,-0.8430387377738953","0.5172578692436218,1.1619279384613037,0.06783236563205719","0.3824477195739746,1.1401301622390747,-0.06823043525218964"
