az,el,[0],[7],[8],[11],[13],[15],[23],[23]
-0.5,0.0,"0.2023065835237503,0.23321744799613953,-0.5225040912628174","0.2516873776912689,0.2013620138168335,-0.044667910784482956","0.12682101130485535,0.21679839491844177,-0.036133039742708206","0.3904058635234833,0.5746064782142639,0.029090721160173416","0.6029992699623108,0.5969210863113403,-0.27791735529899597","0.8430992364883423,0.5788392424583435,-1.0604274272918701","0.3381757140159607,1.5104105472564697,-0.027163740247488022","0.3381757140159607,1.5104105472564697,-0.027163740247488022"
-0.25,0.0,"0.2666122615337372,0.21532289683818817,-0.41062575578689575","0.30327093601226807,0.18849042057991028,0.10039009153842926","0.17061981558799744,0.18481501936912537,-0.047057218849658966","0.4004710614681244,0.5758517980575562,0.285031259059906","0.6087841987609863,0.59907466173172,-0.0643734335899353","0.8913148045539856,0.5558918118476868,-0.8525325059890747","0.35873258113861084,1.5149009227752686,0.131205752491951","0.35873258113861084,1.5149009227752686,0.131205752491951"
-0.25,0.0,"0.28250470757484436,0.2041655033826828,-0.39950236678123474","0.3186330497264862,0.18000757694244385,0.11410083621740341","0.18460527062416077,0.16707207262516022,-0.08412346243858337","0.40787243843078613,0.5771054029464722,0.3223634362220764","0.610828697681427,0.5992376208305359,-0.021512340754270554","0.8991260528564453,0.553014874458313,-0.81889808177948","0.36650317907333374,1.5170975923538208,0.17187121510505676","0.36650317907333374,1.5170975923538208,0.17187121510505676"
-0.25,0.0,"0.285054475069046,0.20201152563095093,-0.2828635275363922","0.32236942648887634,0.17885161936283112,0.20840351283550262","0.19018329679965973,0.16084294021129608,-0.029031828045845032","0.40818873047828674,0.579060435295105,0.400947630405426","0.6141839027404785,0.5992264151573181,0.0908624604344368","0.8997880220413208,0.5437108278274536,-0.6694015860557556","0.36989131569862366,1.5165482759475708,0.18573430180549622","0.36989131569862366,1.5165482759475708,0.18573430180549622"
-0.25,0.0,"0.29327207803726196,0.2011447250843048,-0.16620619595050812","0.3223188519477844,0.1792289763689041,0.28810176253318787","0.19580808281898499,0.16168050467967987,0.0379742756485939","0.4073934555053711,0.5798341035842896,0.45897793769836426","0.6152385473251343,0.5993634462356567,0.2561257481575012","0.8999553918838501,0.5384121537208557,-0.35184699296951294","0.37259113788604736,1.5165280103683472,0.18671587109565735","0.37259113788604736,1.5165280103683472,0.18671587109565735"
-0.25,0.0,"0.2949830889701843,0.20083120465278625,-0.27032390236854553","0.3232826590538025,0.17934316396713257,0.24084734916687012","0.1980976164340973,0.16219764947891235,0.01021282933652401","0.4075757563114166,0.5800097584724426,0.4510025084018707","0.6189926862716675,0.6000742316246033,0.22192950546741486","0.9025044441223145,0.5375296473503113,-0.5016001462936401","0.3767654299736023,1.516444444656372,0.19008156657218933","0.3767654299736023,1.516444444656372,0.19008156657218933"
-0.25,0.0,"0.2958112955093384,0.19891147315502167,-0.21521489322185516","0.3250739872455597,0.17923566699028015,0.30530837178230286","0.2010118067264557,0.1600438356399536,0.07959195971488953","0.4096977710723877,0.5801367163658142,0.44345664978027344","0.6195486187934875,0.604908287525177,0.19966019690036774","0.9028598666191101,0.5384793877601624,-0.4484614431858063","0.37446463108062744,1.4974474906921387,0.1731354147195816","0.37446463108062744,1.4974474906921387,0.1731354147195816"
-0.25,0.0,"0.294192373752594,0.19898785650730133,-0.27819424867630005","0.3281061053276062,0.17991258203983307,0.23022933304309845","0.2047117054462433,0.16029465198516846,0.06211784482002258","0.4131619334220886,0.580595850944519,0.41116565465927124","0.6232146620750427,0.6108981370925903,0.09892933070659637","0.9071457982063293,0.5395618677139282,-0.5257641673088074","0.3735637366771698,1.4849975109100342,0.12191008031368256","0.3735637366771698,1.4849975109100342,0.12191008031368256"
-0.25,0.0,"0.29240262508392334,0.2013043463230133,-0.5119197368621826","0.3310520052909851,0.18034929037094116,0.01886512152850628","0.2035750448703766,0.1662340760231018,-0.05934321880340576","0.41639503836631775,0.5850794315338135,0.142099529504776","0.622864842414856,0.6108007431030273,-0.2954970598220825","0.9057159423828125,0.5430338382720947,-1.1129335165023804","0.35995009541511536,1.5010135173797607,0.08712246268987656","0.35995009541511536,1.5010135173797607,0.08712246268987656"
-0.25,0.0,"0.2926331162452698,0.21271347999572754,-0.5047866702079773","0.3290333151817322,0.18687821924686432,0.027023199945688248","0.20277993381023407,0.17522090673446655,-0.0830826386809349","0.41586533188819885,0.5877318382263184,0.17374666035175323","0.6232300996780396,0.6117214560508728,-0.23672834038734436","0.9038983583450317,0.543187141418457,-0.8052295446395874","0.3563421070575714,1.5039267539978027,0.08954935520887375","0.3563421070575714,1.5039267539978027,0.08954935520887375"
-0.25,0.0,"0.2915378212928772,0.23038512468338013,-0.4806646406650543","0.3271915316581726,0.1993541121482849,0.03105532005429268","0.20186710357666016,0.1986258327960968,-0.08343908190727234","0.41730695962905884,0.5926065444946289,0.18271133303642273","0.6232125163078308,0.6103823184967041,-0.1561334878206253","0.9023367762565613,0.5424003005027771,-0.8915613889694214","0.3573107123374939,1.500858187675476,0.09080278128385544","0.3573107123374939,1.500858187675476,0.09080278128385544"
-0.25,0.0,"0.29013440012931824,0.23849673569202423,-0.5284074544906616","0.32596248388290405,0.20622649788856506,-0.04649517685174942","0.20106029510498047,0.21540305018424988,-0.14347156882286072","0.41722434759140015,0.5933609008789062,0.12737032771110535","0.6200552582740784,0.6106863617897034,-0.16314974427223206","0.8870457410812378,0.5421497225761414,-0.8937026858329773","0.36719080805778503,1.4834591150283813,0.09190826117992401","0.36719080805778503,1.4834591150283813,0.09190826117992401"
-0.25,0.0,"0.2876516878604889,0.24534566700458527,-0.49393194913864136","0.32512593269348145,0.21296755969524384,-0.01879708841443062","0.20030060410499573,0.22703149914741516,-0.11464341729879379","0.41696804761886597,0.5939316153526306,0.13129714131355286","0.6134674549102783,0.609341025352478,-0.08543507009744644","0.8733404874801636,0.539721667766571,-0.6430429220199585","0.36930912733078003,1.4806182384490967,0.08901304751634598","0.36930912733078003,1.4806182384490967,0.08901304751634598"
-0.25,0.0,"0.2854774594306946,0.25244566798210144,-0.46200957894325256","0.32473400235176086,0.22591690719127655,-0.0054407017305493355","0.19981518387794495,0.23240087926387787,-0.059668730944395065","0.416812002658844,0.5983415842056274,0.14918529987335205","0.6115108728408813,0.6076258420944214,-0.1632159799337387","0.8669019937515259,0.5205678939819336,-0.8995424509048462","0.369467556476593,1.4781272411346436,0.08194969594478607","0.369467556476593,1.4781272411346436,0.08194969594478607"
-0.25,0.0,"0.2807956039905548,0.25378987193107605,-0.49658507108688354","0.3231477737426758,0.23394161462783813,-0.04107831418514252","0.19952508807182312,0.23502737283706665,-0.10279636085033417","0.4159834384918213,0.6020163893699646,0.08958511799573898","0.6114929914474487,0.6068931818008423,-0.22652986645698547","0.8597487211227417,0.5036354660987854,-0.9463280439376831","0.36920061707496643,1.479027509689331,0.07846935838460922","0.36920061707496643,1.479027509689331,0.07846935838460922"
-0.25,0.0,"0.27901607751846313,0.255304217338562,-0.341492235660553","0.31961584091186523,0.23924857378005981,0.10052422434091568","0.19886524975299835,0.23671048879623413,0.0362723208963871","0.4135921895503998,0.6028990745544434,0.16113987565040588","0.6110861897468567,0.6002979278564453,-0.1381237655878067","0.8534033894538879,0.4947466552257538,-0.8230644464492798","0.3685120940208435,1.4770092964172363,0.0658893883228302","0.3685120940208435,1.4770092964172363,0.0658893883228302"
-0.25,0.0,"0.27272993326187134,0.2565109133720398,-0.2892351746559143","0.3163755238056183,0.24441508948802948,0.17125645279884338","0.19798824191093445,0.2389553040266037,0.10595355927944183","0.4090659022331238,0.6034594178199768,0.2315944880247116","0.6045046448707581,0.5972676277160645,-0.06723933666944504","0.8485393524169922,0.4919118583202362,-0.7714425921440125","0.36829429864883423,1.4733480215072632,0.05999115854501724","0.36829429864883423,1.4733480215072632,0.05999115854501724"
